picture,category
P04Figure_133.tif,Face
P04Figure_183.tif,Face
P04Figure_152.tif,Face
P04Figure_125.tif,Face
P04Figure_237.tif,Face
P04Figure_168.tif,Face
P04Figure_101.tif,Face
P04Figure_82.tif,Face
P04Figure_245.tif,Face
P04Figure_41.tif,Face
P04Figure_56.tif,Face
P04Figure_138.tif,Face
P04Figure_7.tif,Face
P04Figure_208.tif,Face
P04Figure_150.tif,Face
P04Figure_261.tif,Face
P04Figure_331.tif,Face
P04Figure_23.tif,Face
P04Figure_153.tif,Face
P04Figure_45.tif,Face
P04Figure_323.tif,Face
P04Figure_269.tif,Face
P04Figure_88.tif,Face
P04Figure_70.tif,Face
P04Figure_136.tif,Face
P04Figure_276.tif,Face
P04Figure_324.tif,Face
P04Figure_141.tif,Face
P04Figure_4.tif,Face
P04Figure_172.tif,Face
P04Figure_51.tif,Face
P04Figure_158.tif,Face
P04Figure_13.tif,Face
P04Figure_19.tif,Face
P04Figure_329.tif,Face
P04Figure_228.tif,Face
P04Figure_154.tif,Face
P04Figure_202.tif,Face
P04Figure_281.tif,Face
P04Figure_95.tif,Face
P04Figure_122.tif,Face
P04Figure_250.tif,Face
P04Figure_165.tif,Face
P04Figure_272.tif,Face
P04Figure_16.tif,Face
P04Figure_253.tif,Face
P04Figure_128.tif,Face
P04Figure_61.tif,Face
P04Figure_42.tif,Face
P04Figure_160.tif,Face
P04Figure_163.tif,Face
P04Figure_73.tif,Face
P04Figure_37.tif,Face
P04Figure_279.tif,Face
P04Figure_293.tif,Face
P04Figure_256.tif,Face
P04Figure_179.tif,Face
P04Figure_221.tif,Face
P04Figure_40.tif,Face
P04Figure_80.tif,Face
P04Figure_193.tif,Face
P04Figure_305.tif,Face
P04Figure_239.tif,Face
P04Figure_117.tif,Face
P04Figure_182.tif,Face
P04Figure_171.tif,Face
P04Figure_143.tif,Face
P04Figure_308.tif,Face
P04Figure_157.tif,Face
P04Figure_200.tif,Face
P04Figure_65.tif,Face
P04Figure_64.tif,Face
P04Figure_220.tif,Face
P04Figure_3.tif,Face
P04Figure_29.tif,Face
P04Figure_267.tif,Face
P04Figure_121.tif,Face
P04Figure_85.tif,Face
P04Figure_103.tif,Face
P04Figure_112.tif,Face
P04Figure_131.tif,Face
P04Figure_1.tif,Face
P04Figure_176.tif,Face
P04Figure_100.tif,Face
P04Figure_59.tif,Face
P04Figure_271.tif,Face
P04Figure_135.tif,Face
P04Figure_213.tif,Face
P04Figure_285.tif,Face
P04Figure_288.tif,Face
P04Figure_72.tif,Face
P04Figure_270.tif,Face
P04Figure_263.tif,Face
P04Figure_311.tif,Face
P04Figure_124.tif,Face
P04Figure_159.tif,Face
P04Figure_266.tif,Face
P04Figure_34.tif,Face
P04Figure_74.tif,Face
P04Figure_204.tif,Face
P04Figure_185.tif,Face
P04Figure_89.tif,Face
P04Figure_319.tif,Face
P04Figure_190.tif,Face
P04Figure_215.tif,Face
P04Figure_83.tif,Face
P04Figure_123.tif,Face
P04Figure_188.tif,Face
P04Figure_232.tif,Face
P04Figure_107.tif,Face
P04Figure_332.tif,Face
P04Figure_25.tif,Face
P04Figure_260.tif,Face
P04Figure_130.tif,Face
P04Figure_137.tif,Face
P04Figure_312.tif,Face
P04Figure_180.tif,Face
P04Figure_2.tif,Face
P04Figure_234.tif,Face
P04Figure_18.tif,Face
P04Figure_314.tif,Face
P04Figure_205.tif,Face
P04Figure_21.tif,Face
P04Figure_315.tif,Face
P04Figure_38.tif,Face
P04Figure_313.tif,Face
P04Figure_241.tif,Face
P04Figure_298.tif,Face
P04Figure_292.tif,Face
P04Figure_30.tif,Face
P04Figure_57.tif,Face
P04Figure_268.tif,Face
P04Figure_284.tif,Face
P04Figure_76.tif,Face
P04Figure_108.tif,Face
P04Figure_219.tif,Face
P04Figure_210.tif,Face
P04Figure_33.tif,Face
P04Figure_151.tif,Face
P04Figure_233.tif,Face
P04Figure_75.tif,Face
P04Figure_119.tif,Face
P04Figure_109.tif,Face
P04Figure_251.tif,Face
P04Figure_91.tif,Face
P04Figure_84.tif,Face
P04Figure_299.tif,Face
P04Figure_211.tif,Face
P04Figure_318.tif,Face
P04Figure_9.tif,Face
P04Figure_111.tif,Face
P04Figure_127.tif,Face
P04Figure_231.tif,Face
P04Figure_244.tif,Face
P04Figure_145.tif,Face
P04Figure_36.tif,Face
P04Figure_212.tif,Face
P04Figure_22.tif,Face
P04Figure_114.tif,Face
